City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
479,Mouila,-1.8685,11.0559,75.25,93,98,3.18,overcast clouds,GA,2021-10-10 19:49:19
480,Monte Alegre,-2.0078,-54.0692,96.22,33,100,7.9,overcast clouds,BR,2021-10-10 19:49:20
481,Inta,66.0317,60.1659,28.6,75,75,6.98,broken clouds,RU,2021-10-10 19:49:20
482,Kenai,60.5544,-151.2583,47.08,75,1,10.36,clear sky,US,2021-10-10 19:49:20
483,Zabid,14.1951,43.3152,87.33,61,97,6.06,overcast clouds,YE,2021-10-10 19:49:21
484,Oranjemund,-28.55,16.4333,71.85,36,6,5.77,clear sky,NA,2021-10-10 19:49:21
485,Cabatuan,10.8794,122.486,76.98,91,100,9.51,overcast clouds,PH,2021-10-10 19:49:21
486,Swan Hill,-35.3378,143.5544,37.09,95,0,7.36,clear sky,AU,2021-10-10 19:49:21
487,Torrington,41.8007,-73.1212,63.36,91,100,3.0,overcast clouds,US,2021-10-10 19:49:22
488,Nome,64.5011,-165.4064,33.87,80,75,0.0,broken clouds,US,2021-10-10 19:48:34
489,Pangnirtung,66.1451,-65.7125,30.2,100,90,9.22,fog,CA,2021-10-10 19:49:22
490,Angoram,-4.0625,144.0661,72.59,94,100,2.39,overcast clouds,PG,2021-10-10 19:49:22
491,Saldanha,-33.0117,17.9442,60.85,60,83,9.53,broken clouds,ZA,2021-10-10 19:49:23
492,Coos Bay,43.3665,-124.2179,62.85,74,75,10.36,broken clouds,US,2021-10-10 19:49:23
493,Inongo,-1.95,18.2667,71.15,93,100,5.64,light rain,CD,2021-10-10 19:49:23
494,Usinsk,65.9939,57.5281,30.36,69,100,13.18,overcast clouds,RU,2021-10-10 19:49:24
495,Hirara,24.8,125.2833,81.88,85,100,34.05,moderate rain,JP,2021-10-10 19:49:24
496,Hemsedal,60.8629,8.5534,44.15,85,6,5.82,clear sky,NO,2021-10-10 19:49:24
497,La Ronge,55.1001,-105.2842,50.25,53,75,1.14,broken clouds,CA,2021-10-10 19:49:24
