City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Tarakan,ID,80.74,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
326,Waingapu,ID,75.4,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
329,San Pedro,PH,80.35,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
330,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
332,Kudahuvadhoo,MV,83.28,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
333,Mersing,MY,76.91,light rain,2.4312,103.8405,Timotel Hotel
334,Saint-Leu,RE,72.43,clear sky,-21.15,55.2833,La Caz Oceane
337,Akoupe,CI,74.05,moderate rain,6.39,-3.9003,Hotel le Pavillon
339,Adrar,MR,89.04,overcast clouds,20.5022,-10.0711,
343,Alto Araguaia,BR,82.4,moderate rain,-17.3147,-53.2153,Araguaia Palace Hotel
345,Puri,IN,81.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
348,Ambulu,ID,74.73,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
354,Srisailam,IN,73.49,overcast clouds,16.0833,78.8667,Vasavi Satram
355,Dubai,AE,89.53,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
356,Quechultenango,MX,80.49,clear sky,17.4167,-99.2167,Baños publicos y casa de hospedaje popolutla
357,Sola,VU,79.16,broken clouds,-13.8833,167.55,Leumerus Bungalows
358,Mangrol,IN,82.2,clear sky,21.1167,70.1167,Hotel The Royal Honours
365,Fortuna,US,69.42,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
367,Camacha,PT,69.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
368,Yelahanka,IN,69.89,broken clouds,13.1075,77.6003,Royal Orchid Resort & Convention Centre
370,Lac Du Bonnet,CA,65.21,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
372,Pangai,TO,71.71,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
373,Vila Velha,BR,69.75,mist,-20.3297,-40.2925,Quality Suites Vila Velha
376,Ramnagar,IN,70.23,clear sky,29.4,79.1167,Leisure Vacation Myrica Hotel
378,Cassilandia,BR,69.71,light rain,-19.1133,-51.7342,Delirius Motel
379,Buala,SB,80.06,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
382,Necochea,AR,63.1,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
383,Mogadishu,SO,78.42,few clouds,2.0371,45.3438,Hotel Juba
385,Yeppoon,AU,60.58,clear sky,-23.1333,150.7333,Villa Mar Colina
386,Nova Olinda Do Norte,BR,88.34,overcast clouds,-3.8881,-59.0942,Jardim Paiva Hotel
387,Danbury,US,64.72,overcast clouds,41.3948,-73.454,Americas Best Value Inn Danbury
389,Axim,GH,77.25,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
390,Pilar,BR,84.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
392,Jesup,US,84.22,broken clouds,31.6074,-81.8854,Western Motel
394,Impfondo,CG,68.52,broken clouds,1.6381,18.0667,Auberge La Place de Jules
397,Tezu,IN,75.54,clear sky,27.9167,96.1667,Circuit House
398,Kwakoa,TZ,69.8,few clouds,-3.7667,37.7167,MJI Mwema Lodge
400,Byron Bay,AU,69.91,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
401,Mayo,US,74.34,broken clouds,38.8876,-76.5119,Resorts Resource Group International
403,Mandali,IQ,78.71,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
404,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
405,Tadine,NC,72.43,broken clouds,-21.55,167.8833,
406,Jintur,IN,74.19,clear sky,19.6167,76.7,AMOL SALVE SWEET ORANGE FARM
407,Shimoda,JP,67.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
408,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
412,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
415,Kyabe,TD,77.65,overcast clouds,9.4515,18.9449,
416,Bosaso,SO,86.07,broken clouds,11.2842,49.1816,Red Sea Hotel
418,Quatre Cocos,MU,72.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
420,Booue,GA,72.39,light rain,-0.0921,11.9385,Splendeur de l'équateur
422,Muros,ES,64.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
423,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
424,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
426,Hibbing,US,65.86,thunderstorm with light rain,47.4272,-92.9377,Americas Best Value Inn Hibbing
427,La Plaine,DM,77.29,light rain,15.3333,-61.25,Citrus Creek Plantation
428,North Bend,US,61.25,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
429,Buin,CL,76.05,clear sky,-33.7333,-70.75,Paihuen
431,Yangambi,CD,71.49,moderate rain,0.8102,24.4336,
435,Bogale,MM,77.4,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
437,Hamilton,US,85.1,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
438,Montepuez,MZ,72.43,scattered clouds,-13.1256,38.9997,PembaAparthotel
439,Bloemfontein,ZA,60.28,clear sky,-29.1211,26.214,aha Bloemfontein Hotel
443,Ukiah,US,81.12,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
444,Broome,US,70.92,overcast clouds,42.2506,-75.833,Chenango Valley State Park
446,Ouargaye,BF,86.41,scattered clouds,11.5033,0.0572,Résidence le Cotonnier
447,Sheridan,US,65.01,clear sky,44.8333,-106.9173,Comfort Inn & Suites
448,Barranca,PE,67.21,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
453,Morehead,US,87.51,clear sky,37.2711,-87.1764,CCI Express Inn
454,Cody,US,60.62,broken clouds,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
457,Big Bend,SZ,63.39,scattered clouds,-26.8167,31.9333,The Lebombo Villa B+B
459,Kolondieba,ML,80.64,overcast clouds,11.0882,-6.8926,Hotel Dakan
460,Pak Chong,TH,74.35,light rain,14.708,101.4161,PakChong Phubade Hotel
462,Birao,CF,79.75,broken clouds,10.2849,22.7882,
463,Tecoanapa,MX,85.01,clear sky,16.5167,-98.75,Hotel Manglares
464,Panaba,MX,88.11,broken clouds,21.2833,-88.2667,Posada rosario
466,San Rafael,AR,73.72,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
467,Sorong,ID,79.63,overcast clouds,-0.8833,131.25,waigo splash hotel
468,Ellisras,ZA,63.72,clear sky,-23.6649,27.7443,Lapa le le guesthouse
470,Ozark,US,84.88,clear sky,37.0209,-93.206,Americas Best Value Inn Ozark Springfield
473,Yacuiba,BO,73.17,overcast clouds,-22.038,-63.6797,Hotel Monumental
476,Buchanan,LR,78.76,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
478,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
479,Mouila,GA,75.25,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
483,Zabid,YE,87.33,overcast clouds,14.1951,43.3152,دار الضيافة
485,Cabatuan,PH,76.98,overcast clouds,10.8794,122.486,MVC Transient Room
487,Torrington,US,63.36,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
490,Angoram,PG,72.59,overcast clouds,-4.0625,144.0661,
491,Saldanha,ZA,60.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
492,Coos Bay,US,62.85,broken clouds,43.3665,-124.2179,Best Western Holiday Hotel
493,Inongo,CD,71.15,light rain,-1.95,18.2667,Hotel Du Lac
495,Hirara,JP,81.88,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
498,Rio Tercero,AR,68.79,broken clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
499,Sao Jose Da Coroa Grande,BR,78.6,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
500,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
502,Augusto Correa,BR,83.21,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
504,Ugoofaaru,MV,83.08,broken clouds,5.6667,73.0,Ungoofaaru Inn
505,Port Hedland,AU,66.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
506,La Asuncion,VE,84.33,broken clouds,11.0333,-63.8628,Colinas de Matasiete
507,Marsh Harbour,BS,82.81,light rain,26.5412,-77.0636,Abaco Beach Resort
510,Pringsewu,ID,74.73,overcast clouds,-5.3582,104.9744,Urban Style by Front One
512,Daru,PG,78.08,overcast clouds,-9.0763,143.2092,Daru Lodge
513,Kismayo,SO,77.94,few clouds,-0.3582,42.5454,Agan-Hotel
514,Lincoln,US,68.07,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
519,Izumo,JP,73.35,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
525,Port Blair,IN,80.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
526,Aviles,ES,61.99,scattered clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
527,Ca Mau,VN,77.79,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
529,Albacete,ES,62.19,clear sky,38.8333,-2.0,
531,Airai,TL,60.62,overcast clouds,-8.9266,125.4092,Juvinal Martin
534,Abu Kamal,SY,78.42,clear sky,34.4506,40.9171,محطة التلفاز
536,Gat,IL,74.39,clear sky,31.61,34.7642,OlusHome
538,Malinyi,TZ,79.43,overcast clouds,-8.9333,36.1333,
